location,price,bedrooms,bathrooms,size_sqft,year_built,price_per_sqft,property_age,listing_category,listing_category_order
Rural,215355.28361820136,4,1,2126.0,1969,101.29599417601193,56.0,Mid-Range,2.0
Rural,195014.22162584803,3,2,2459.0,1980,79.306312169926,45.0,Mid-Range,2.0
Suburb,306891.0120763329,2,1,1860.0,1970,164.99516778297468,55.0,High-End,3.0
Urban,206786.78715332696,2,1,2294.0,1996,90.14245298750086,29.0,Mid-Range,2.0
Suburb,272436.239065061,5,2,2130.0,2001,127.90433758923051,24.0,High-End,3.0
Suburb,198208.80390657103,2,3,2095.0,2020,94.61040759263534,5.0,Mid-Range,2.0
Suburb,343429.3191099182,2,1,2724.0,1993,126.07537412258377,32.0,High-End,3.0
Rural,184992.321268412,4,3,2044.0,1957,90.50504954423288,68.0,Budget,1.0
Urban,377998.58815204125,4,3,2638.0,1959,143.28983629721048,66.0,High-End,3.0
Urban,95961.92601406392,5,2,1121.0,2004,85.60385906696158,21.0,Budget,1.0
Suburb,191113.7686788604,5,3,1466.0,1951,130.3640986895364,74.0,Mid-Range,2.0
Suburb,253358.64500167352,3,3,2238.0,1987,113.20761617590416,38.0,Mid-Range,2.0
Suburb,132172.3926169813,2,2,1330.0,1992,99.37773880976037,33.0,Budget,1.0
Suburb,231157.02767588635,4,3,2482.0,1989,93.13337134403156,36.0,Mid-Range,2.0
Urban,118393.82316264397,4,1,1087.0,1976,108.9179605912088,49.0,Budget,1.0
Suburb,267377.3996858498,2,2,2396.0,1993,111.59323860010426,32.0,High-End,3.0
Rural,190773.14856300573,5,2,2123.0,1956,89.86017360480722,69.0,Mid-Range,2.0
Suburb,172989.80490101498,4,2,1871.0,1977,92.45847402512827,48.0,Budget,1.0
Urban,239222.6677969504,5,1,2687.0,1979,89.0296493475811,46.0,Mid-Range,2.0
Rural,143050.20178240183,4,3,1130.0,1962,126.5930989224795,63.0,Budget,1.0
Urban,405523.82831733953,4,3,2685.0,1999,151.0330831721935,26.0,High-End,3.0
