ShipmentID,Origin,Destination,Pickup_Date,Delivery_Date,Delivery_Status,Distance_KM,Shipment_Mode,Weight_KG,Cost_USD,Customer_Segment,Delay_Reason,Delivery_Time_Days
SHP100000,Seattle,New York,2025-03-10,2025-03-18 04:48:00,In Transit,3781.5,Ground,34.05,10593.11,Retail,Operational,8.2
SHP100001,Detroit,Los Angeles,2025-08-30,2025-09-04 09:36:00,Delivered,2838.7,Ground,18.84,5415.39,Business,Operational,5.4
SHP100002,Phoenix,San Diego,2025-01-07,2025-01-10 02:24:00,Delivered,1216.1,Freight,23.82,3458.32,Retail,Operational,3.1
SHP100003,Miami,San Francisco,2024-09-29,2024-10-04 21:36:00,Delivered,3003.8,Ground,31.86,7378.63,Business,Operational,5.9
SHP100004,Seattle,Miami,2025-07-29,2025-07-31 16:48:00,Delivered,1204.5,Ground,21.86,2733.05,Retail,Operational,2.7
SHP100005,Phoenix,Baltimore,2025-05-23,2025-05-26 12:00:00,In Transit,1340.5,Ground,12.73,2135.47,Business,Operational,3.5
SHP100006,Phoenix,Los Angeles,2024-05-11,2024-05-16 09:36:00,Delayed,3846.4,Air,22.56,14133.72,Retail,Operational,5.4
SHP100007,Dallas,Boston,2024-11-14,2024-11-21 16:48:00,Delivered,4196.8,Ground,8.53,6127.66,Retail,Operational,7.7
SHP100008,Miami,Memphis,2025-09-12,2025-09-16 09:36:00,Delivered,1304.6,Freight,4.93,1648.29,Business,Weather,4.4
SHP100009,Chicago,Memphis,2024-06-16,2024-06-26 16:48:00,Delivered,4190.6,Ground,45.2,12189.26,Business,Weather,10.7
SHP100010,Los Angeles,Denver,2025-01-31,2025-02-03 07:12:00,Delivered,1226.8,Freight,24.68,3545.3,Retail,Operational,3.3
SHP100011,San Francisco,San Diego,2024-06-28,2024-06-29 16:48:00,Delayed,704.2,Ground,28.62,1655.19,Business,Operational,1.7
SHP100012,Memphis,Phoenix,2024-02-27,2024-02-27 16:48:00,Delivered,450.4,Freight,20.98,1208.86,Retail,Operational,0.7
SHP100013,Los Angeles,Seattle,2025-04-24,2025-04-26 07:12:00,In Transit,1241.1,Ground,3.94,1316.51,Retail,Operational,2.3
SHP100014,New York,Houston,2025-08-13,2025-08-16 04:48:00,Delivered,1856.6,Air,43.14,9354.52,Retail,Operational,3.2
SHP100015,San Francisco,Houston,2025-04-04,2025-04-11 02:24:00,Delivered,4188.5,Ground,12.75,7348.5,Retail,Operational,7.1
SHP100016,San Francisco,Baltimore,2024-03-01,2024-03-06 07:12:00,In Transit,1241.3,Air,14.78,3754.22,Retail,Customs,5.3
SHP100017,Charlotte,Denver,2025-01-03,2025-01-06 09:36:00,Delayed,1771.5,Air,39.72,8570.09,Retail,Operational,3.4
SHP100018,Houston,Detroit,2024-04-30,2024-05-06 00:00:00,Delivered,3356.9,Ground,8.43,4188.77,Government,Operational,6.0
SHP100019,San Diego,Dallas,2025-06-29,2025-07-02 12:00:00,Delayed,1498.9,Air,13.82,3969.62,Business,Operational,3.5
SHP100020,Detroit,Miami,2025-08-04,2025-08-10 12:00:00,In Transit,3142.8,Ground,13.08,5050.58,Business,Operational,6.5
SHP100021,Detroit,Denver,2024-01-17,2024-01-20 00:00:00,Delayed,2057.9,Air,8.21,4289.89,Business,Operational,3.0
SHP100022,San Francisco,Boston,2025-05-10,2025-05-12 07:12:00,In Transit,1044.7,Air,19.09,3561.01,Retail,Operational,2.3
SHP100023,Chicago,Denver,2025-05-11,2025-05-18 19:12:00,Delivered,3356.5,Freight,9.18,5507.42,Business,Operational,7.8
SHP100024,Atlanta,Dallas,2025-05-19,2025-05-20 21:36:00,Delivered,316.3,Ground,44.39,877.52,Government,Operational,1.9
SHP100025,Seattle,Charlotte,2025-06-15,2025-06-17 21:36:00,Delivered,1457.0,Ground,4.6,1493.2,Business,Operational,2.9
