season_id,name,year,competition_id
sr:season:128911,Hopman Cup 2025,2025,sr:competition:620
sr:season:100899,Hopman Cup 2023,2023,sr:competition:620
sr:season:127417,Davis Cup 2025,2025,sr:competition:2100
sr:season:111566,Davis Cup 2024,2024,sr:competition:2100
sr:season:101797,Davis Cup 2023,2023,sr:competition:2100
sr:season:127911,Billie Jean King Cup 2025,2025,sr:competition:2102
sr:season:113368,Billie Jean King Cup 2024,2024,sr:competition:2102
sr:season:101799,Billie Jean King Cup 2023,2023,sr:competition:2102
sr:season:120983,Wimbledon Men Singles 2025,2025,sr:competition:2555
sr:season:107797,Wimbledon Men Singles 2024,2024,sr:competition:2555
sr:season:124657,Wimbledon Men Doubles 2025,2025,sr:competition:2557
sr:season:111420,Wimbledon Men Doubles 2024,2024,sr:competition:2557
sr:season:101299,Wimbledon Men Doubles 2023,2023,sr:competition:2557
sr:season:120985,Wimbledon Women Singles 2025,2025,sr:competition:2559
sr:season:107799,Wimbledon Women Singles 2024,2024,sr:competition:2559
sr:season:124205,Wimbledon Women Doubles 2025,2025,sr:competition:2561
sr:season:113062,Wimbledon Women Doubles 2024,2024,sr:competition:2561
sr:season:99667,Wimbledon Women Doubles 2023,2023,sr:competition:2561
sr:season:124659,Wimbledon Mixed Doubles 2025,2025,sr:competition:2563
sr:season:111422,Wimbledon Mixed Doubles 2024,2024,sr:competition:2563
sr:season:101297,Wimbledon Mixed Doubles 2023,2023,sr:competition:2563
sr:season:128143,Australian Open Men Singles 2026,2026,sr:competition:2567
sr:season:115101,Australian Open Men Singles 2025,2025,sr:competition:2567
sr:season:102231,Australian Open Men Singles 2024,2024,sr:competition:2567
sr:season:126381,Australian Open Men Doubles 2025,2025,sr:competition:2569
sr:season:111486,Australian Open Men Doubles 2024,2024,sr:competition:2569
sr:season:98917,Australian Open Men Doubles 2023,2023,sr:competition:2569
sr:season:128141,Australian Open Women Singles 2026,2026,sr:competition:2571
sr:season:115103,2025 Australian Open Women Singles,2025,sr:competition:2571
sr:season:102229,Australian Open Women Singles 2024,2024,sr:competition:2571
sr:season:124079,Australian Open Women Doubles 2025,2025,sr:competition:2573
sr:season:112830,Australian Open Women Doubles 2024,2024,sr:competition:2573
sr:season:98997,Australian Open Women Doubles 2023,2023,sr:competition:2573
sr:season:126383,Australian Open Mixed Doubles 2025,2025,sr:competition:2575
sr:season:111488,Australian Open Mixed Doubles 2024,2024,sr:competition:2575
sr:season:98915,Australian Open Mixed Doubles 2023,2023,sr:competition:2575
sr:season:119469,French Open Men Singles 2025,2025,sr:competition:2579
sr:season:106267,French Open Men Singles 2024,2024,sr:competition:2579
sr:season:124629,French Open Men Doubles 2025,2025,sr:competition:2581
sr:season:111390,French Open Men Doubles 2024,2024,sr:competition:2581
sr:season:99289,French Open Men Doubles 2023,2023,sr:competition:2581
sr:season:119471,French Open Women Singles 2025,2025,sr:competition:2583
sr:season:106269,French Open Women Singles 2024,2024,sr:competition:2583
sr:season:124203,French Open Women Doubles 2025,2025,sr:competition:2585
sr:season:112914,French Open Women Doubles 2024,2024,sr:competition:2585
sr:season:99313,French Open Women Doubles 2023,2023,sr:competition:2585
sr:season:124631,French Open Mixed Doubles 2025,2025,sr:competition:2587
sr:season:111392,French Open Mixed Doubles 2024,2024,sr:competition:2587
sr:season:99291,French Open Mixed Doubles 2023,2023,sr:competition:2587
sr:season:123561,US Open Men Singles 2025,2025,sr:competition:2591
sr:season:110285,US Open Men Singles 2024,2024,sr:competition:2591
sr:season:124417,US Open Men Doubles 2025,2025,sr:competition:2593
sr:season:111506,US Open Men Doubles 2024,2024,sr:competition:2593
sr:season:123559,US Open Women Singles 2025,2025,sr:competition:2595
sr:season:110287,US Open Women Singles 2024,2024,sr:competition:2595
sr:season:124357,US Open Women Doubles 2025,2025,sr:competition:2597
sr:season:113228,US Open Women Doubles 2024,2024,sr:competition:2597
sr:season:131685,US Open Mixed Doubles 2025,2025,sr:competition:2599
sr:season:111508,US Open Mixed Doubles 2024,2024,sr:competition:2599
sr:season:99719,US Open Mixed Doubles 2023,2023,sr:competition:2599
sr:season:133643,"ATP Doha, Qatar Men Singles 2026",2026,sr:competition:2603
sr:season:124289,"ATP Doha, Qatar Men Singles 2025",2025,sr:competition:2603
sr:season:111310,"ATP Doha, Qatar Men Singles 2024",2024,sr:competition:2603
