Title,Name,Platform_engagement,Platform_salesdata,Release Date,Year,Primary_Genre,Genres,Genre,Team,Publisher,Rating,Plays,Backlogs,Wishlist,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Minecraft,Minecraft,,X360,"Nov 18, 2011",2013.0,['Adventure',"['Adventure', 'Simulator']",Misc,['Mojang Studios'],Microsoft Game Studios,4.3,0,0,230,5.58,2.83,0.02,0.77,9.2
Minecraft,Minecraft,,PS3,"Nov 18, 2011",2014.0,['Adventure',"['Adventure', 'Simulator']",Misc,['Mojang Studios'],Sony Computer Entertainment,4.3,0,0,230,1.97,2.51,0.0,0.94,5.42
Minecraft,Minecraft,,PS4,"Nov 18, 2011",2014.0,['Adventure',"['Adventure', 'Simulator']",Misc,['Mojang Studios'],Sony Computer Entertainment Europe,4.3,0,0,230,1.38,1.87,0.12,0.65,4.02
Minecraft,Minecraft,,XOne,"Nov 18, 2011",2014.0,['Adventure',"['Adventure', 'Simulator']",Misc,['Mojang Studios'],Microsoft Game Studios,4.3,0,0,230,1.43,0.76,0.0,0.22,2.41
Minecraft,Minecraft,,PSV,"Nov 18, 2011",2014.0,['Adventure',"['Adventure', 'Simulator']",Misc,['Mojang Studios'],Sony Computer Entertainment Europe,4.3,0,0,230,0.28,0.79,0.87,0.32,2.25
Minecraft,Minecraft,,WiiU,"Nov 18, 2011",2016.0,['Adventure',"['Adventure', 'Simulator']",Misc,['Mojang Studios'],Microsoft Game Studios,4.3,0,0,230,0.18,0.09,0.14,0.03,0.43
God of War,God of War,,PS2,"Apr 20, 2018",2005.0,['Adventure',"['Adventure', 'Brawler', 'RPG']",Action,"['Sony Interactive Entertainment', 'SIE Santa Monica Studio']",Sony Computer Entertainment,4.2,0,0,0,2.71,1.29,0.02,0.43,4.45
Portal 2,Portal 2,,X360,"Apr 18, 2011",2011.0,['Adventure',"['Adventure', 'Platform', 'Puzzle', 'Shooter']",Shooter,"['Valve', 'Electronic Arts']",Valve Software,4.4,0,0,0,1.41,0.51,0.01,0.17,2.1
Portal 2,Portal 2,,PS3,"Apr 18, 2011",2011.0,['Adventure',"['Adventure', 'Platform', 'Puzzle', 'Shooter']",Shooter,"['Valve', 'Electronic Arts']",Valve,4.4,0,0,0,0.83,0.63,0.02,0.25,1.74
Portal 2,Portal 2,,PC,"Apr 18, 2011",2011.0,['Adventure',"['Adventure', 'Platform', 'Puzzle', 'Shooter']",Shooter,"['Valve', 'Electronic Arts']",Valve Software,4.4,0,0,0,0.33,0.32,0.0,0.11,0.76
Bloodborne,Bloodborne,,PS4,"Mar 24, 2015",2015.0,['Adventure',"['Adventure', 'RPG']",Action,"['FromSoftware', 'Sony Computer Entertainment']",Sony Computer Entertainment,4.5,0,0,0,1.0,0.76,0.26,0.36,2.38
Metal Gear Rising: Revengeance,Metal Gear Rising: Revengeance,,PS3,"Feb 19, 2013",2013.0,['Adventure',"['Adventure', 'Brawler', 'Shooter', 'Strategy']",Action,"['Konami', 'PlatinumGames']",Konami Digital Entertainment,4.1,0,0,0,0.45,0.4,0.44,0.18,1.47
Metal Gear Rising: Revengeance,Metal Gear Rising: Revengeance,,X360,"Feb 19, 2013",2013.0,['Adventure',"['Adventure', 'Brawler', 'Shooter', 'Strategy']",Action,"['Konami', 'PlatinumGames']",Konami Digital Entertainment,4.1,0,0,0,0.29,0.16,0.0,0.04,0.5
Grand Theft Auto V,Grand Theft Auto V,,PS3,"Sep 17, 2013",2013.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,664,7.01,9.27,0.97,4.14,21.4
Grand Theft Auto V,Grand Theft Auto V,,X360,"Sep 17, 2013",2013.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,664,9.63,5.31,0.06,1.38,16.38
Grand Theft Auto V,Grand Theft Auto V,,PS4,"Sep 17, 2013",2014.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,664,3.8,5.81,0.36,2.02,11.98
Grand Theft Auto V,Grand Theft Auto V,,XOne,"Sep 17, 2013",2014.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,664,2.66,2.01,0.0,0.41,5.08
Grand Theft Auto V,Grand Theft Auto V,,PC,"Sep 17, 2013",2015.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,664,0.36,0.64,0.0,0.08,1.08
Dark Souls III,Dark Souls III,,PS4,"Mar 24, 2016",2016.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bandai Namco Entertainment', 'FromSoftware']",Namco Bandai Games,4.2,0,0,0,0.58,0.44,0.33,0.21,1.56
Dark Souls III,Dark Souls III,,XOne,"Mar 24, 2016",2016.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bandai Namco Entertainment', 'FromSoftware']",Namco Bandai Games,4.2,0,0,0,0.23,0.09,0.0,0.03,0.35
Dark Souls III,Dark Souls III,,PC,"Mar 24, 2016",2016.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bandai Namco Entertainment', 'FromSoftware']",Namco Bandai Games,4.2,0,0,0,0.0,0.05,0.0,0.0,0.05
Super Mario 64,Super Mario 64,,N64,"Jun 23, 1996",1996.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo EAD']",Nintendo,4.1,0,0,775,6.91,2.85,1.91,0.23,11.89
Super Mario 64,Super Mario 64,,DS,"Jun 23, 1996",2004.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo EAD']",Nintendo,4.1,0,0,775,5.08,3.11,1.25,0.98,10.42
Final Fantasy VII,Final Fantasy VII,,PS,"Jan 31, 1997",1997.0,['Adventure',"['Adventure', 'RPG', 'Turn Based Strategy']",Role-Playing,"['Square', 'Eidos Interactive']",Sony Computer Entertainment,4.2,0,0,0,3.01,2.47,3.28,0.96,9.72
Super Mario Galaxy,Super Mario Galaxy,,Wii,"Nov 01, 2007",2007.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo EAD', 'Nintendo']",Nintendo,4.3,0,0,0,6.16,3.4,1.2,0.76,11.52
Fallout: New Vegas,Fallout: New Vegas,,X360,"Oct 19, 2010",2010.0,['RPG',"['RPG', 'Shooter']",Role-Playing,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",Bethesda Softworks,4.3,0,0,0,2.65,1.06,0.04,0.33,4.08
Fallout: New Vegas,Fallout: New Vegas,,PS3,"Oct 19, 2010",2010.0,['RPG',"['RPG', 'Shooter']",Role-Playing,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",Bethesda Softworks,4.3,0,0,0,1.52,1.08,0.1,0.47,3.17
Fallout: New Vegas,Fallout: New Vegas,,PC,"Oct 19, 2010",2010.0,['RPG',"['RPG', 'Shooter']",Role-Playing,"['Obsidian Entertainment', 'Bandai Namco Entertainment']",Bethesda Softworks,4.3,0,0,0,0.58,0.45,0.0,0.14,1.16
Resident Evil 2,Resident Evil 2,,PS,"Jan 25, 2019",1998.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Capcom', 'Capcom Development Division 1']",Virgin Interactive,4.3,0,0,0,1.88,1.47,2.02,0.45,5.82
Resident Evil 2,Resident Evil 2,,N64,"Jan 25, 2019",1999.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Capcom', 'Capcom Development Division 1']",Virgin Interactive,4.3,0,0,0,0.39,0.09,0.07,0.01,0.56
Resident Evil 2,Resident Evil 2,,GC,"Jan 25, 2019",2003.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Capcom', 'Capcom Development Division 1']",Capcom,4.3,0,0,0,0.04,0.01,0.0,0.0,0.06
Doom,Doom,,PS,"May 12, 2016",1994.0,['Shooter'],['Shooter'],Shooter,"['id Software', 'Bethesda Softworks']",Infogrames,4.0,0,0,0,0.43,0.3,0.0,0.05,0.78
Doom,Doom,,GBA,"May 12, 2016",2001.0,['Shooter'],['Shooter'],Shooter,"['id Software', 'Bethesda Softworks']",Activision,4.0,0,0,0,0.1,0.04,0.0,0.0,0.14
Doom,Doom,,PC,"May 12, 2016",1992.0,['Shooter'],['Shooter'],Shooter,"['id Software', 'Bethesda Softworks']",id Software,4.0,0,0,0,0.02,0.0,0.0,0.0,0.03
Bayonetta,Bayonetta,,PS3,"Oct 29, 2009",2009.0,['Brawler',"['Brawler', 'Shooter']",Action,"['Nex Entertainment', 'Sega']",Sega,3.9,0,0,0,0.44,0.41,0.21,0.17,1.23
Bayonetta,Bayonetta,,X360,"Oct 29, 2009",2009.0,['Brawler',"['Brawler', 'Shooter']",Action,"['Nex Entertainment', 'Sega']",Sega,3.9,0,0,0,0.51,0.26,0.09,0.08,0.94
Silent Hill 2,Silent Hill 2,,PS2,"Sep 24, 2001",2001.0,['Adventure',"['Adventure', 'Puzzle']",Action,"['Team Silent', 'Konami']",Konami Digital Entertainment,4.5,0,0,0,0.62,0.49,0.0,0.16,1.28
The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,,PS4,"May 19, 2015",2015.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['WB Games', 'CD Projekt RED']",Namco Bandai Games,4.3,0,0,0,0.96,2.0,0.21,0.56,3.73
The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,,XOne,"May 19, 2015",2015.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['WB Games', 'CD Projekt RED']",Namco Bandai Games,4.3,0,0,0,0.66,0.47,0.0,0.11,1.24
The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,,PC,"May 19, 2015",2015.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['WB Games', 'CD Projekt RED']",Namco Bandai Games,4.3,0,0,0,0.2,0.42,0.0,0.05,0.67
Persona 5,Persona 5,,PS4,"Sep 15, 2016",2016.0,['Adventure',"['Adventure', 'RPG', 'Turn Based Strategy']",Role-Playing,"['Atlus', 'Atlus USA']",Atlus,4.1,0,0,0,0.0,0.0,0.34,0.0,0.34
Persona 5,Persona 5,,PS3,"Sep 15, 2016",2016.0,['Adventure',"['Adventure', 'RPG', 'Turn Based Strategy']",Role-Playing,"['Atlus', 'Atlus USA']",Unknown,4.1,0,0,0,0.0,0.0,0.1,0.0,0.1
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,,X360,"Nov 10, 2011",2011.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bethesda Game Studios', 'Bethesda Softworks']",Bethesda Softworks,3.7,0,0,0,5.03,2.86,0.1,0.85,8.84
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,,PS3,"Nov 10, 2011",2011.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bethesda Game Studios', 'Bethesda Softworks']",Bethesda Softworks,3.7,0,0,0,2.55,2.71,0.25,1.05,6.56
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,,PC,"Nov 10, 2011",2011.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bethesda Game Studios', 'Bethesda Softworks']",Bethesda Softworks,3.7,0,0,0,1.15,2.09,0.0,0.64,3.88
Resident Evil 4,Resident Evil 4,,PS2,"Jan 11, 2005",2005.0,['Shooter'],['Shooter'],Action,"['Capcom', 'Capcom Production Studio 4']",Capcom,4.3,0,0,0,2.08,0.83,0.46,0.25,3.62
Resident Evil 4,Resident Evil 4,,Wii,"Jan 11, 2005",2007.0,['Shooter'],['Shooter'],Action,"['Capcom', 'Capcom Production Studio 4']",Capcom,4.3,0,0,0,1.34,0.57,0.14,0.21,2.26
Resident Evil 4,Resident Evil 4,,GC,"Jan 11, 2005",2005.0,['Shooter'],['Shooter'],Action,"['Capcom', 'Capcom Production Studio 4']",Capcom,4.3,0,0,0,0.98,0.42,0.22,0.06,1.69
Resident Evil 4,Resident Evil 4,,PC,"Jan 11, 2005",2007.0,['Shooter'],['Shooter'],Action,"['Capcom', 'Capcom Production Studio 4']",Ubisoft,4.3,0,0,0,0.0,0.02,0.0,0.01,0.03
Dark Souls,Dark Souls,,PS3,"Sep 22, 2011",2011.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['FromSoftware', 'Bandai Namco Entertainment']",Namco Bandai Games,4.3,0,0,0,0.75,0.54,0.54,0.23,2.07
Dark Souls,Dark Souls,,X360,"Sep 22, 2011",2011.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['FromSoftware', 'Bandai Namco Entertainment']",Namco Bandai Games,4.3,0,0,0,0.64,0.28,0.0,0.08,1.0
Dark Souls,Dark Souls,,PC,"Sep 22, 2011",2012.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['FromSoftware', 'Bandai Namco Entertainment']",Namco Bandai Games,4.3,0,0,0,0.0,0.06,0.0,0.01,0.07
The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,,N64,"Nov 21, 1998",1998.0,['Adventure',"['Adventure', 'RPG']",Action,"['Nintendo', 'Nintendo EAD']",Nintendo,4.3,0,0,0,4.1,1.89,1.45,0.16,7.6
The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,,3DS,"Nov 21, 1998",2011.0,['Adventure',"['Adventure', 'RPG']",Action,"['Nintendo', 'Nintendo EAD']",Nintendo,4.3,0,0,0,2.03,1.27,0.62,0.3,4.21
Chrono Trigger,Chrono Trigger,,SNES,"Mar 11, 1995",1995.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,['Square'],SquareSoft,4.5,0,0,0,0.28,0.0,2.02,0.01,2.31
Chrono Trigger,Chrono Trigger,,DS,"Mar 11, 1995",2008.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,['Square'],Square Enix,4.5,0,0,0,0.69,0.2,0.49,0.09,1.47
Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,,PS2,"Nov 13, 2001",2001.0,['Adventure'],['Adventure'],Action,"['Konami Computer Entertainment Japan', 'Konami']",Konami Digital Entertainment,4.4,0,0,0,2.45,2.01,0.87,0.72,6.05
Super Mario World,Super Mario World,,SNES,"Nov 21, 1990",1990.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo EAD']",Nintendo,4.2,0,0,460,12.78,3.75,3.54,0.55,20.61
Super Mario World,Super Mario World,,GBA,"Nov 21, 1990",2001.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo EAD']",Nintendo,4.2,0,0,460,3.21,1.11,0.95,0.2,5.46
EarthBound,EarthBound,,SNES,"Aug 27, 1994",1994.0,['Adventure',"['Adventure', 'RPG', 'Turn Based Strategy']",Role-Playing,"['Nintendo', 'Creatures Inc.']",Nintendo,4.2,0,0,0,0.0,0.0,0.81,0.0,0.81
Castlevania: Symphony of the Night,Castlevania: Symphony of the Night,,PS,"Mar 20, 1997",1997.0,['Adventure',"['Adventure', 'Platform', 'RPG']",Platform,"['Konami', 'Konami Computer Entertainment Tokyo']",Konami Digital Entertainment,4.4,0,0,0,0.58,0.4,0.21,0.08,1.27
Super Metroid,Super Metroid,,SNES,"Mar 19, 1994",1994.0,['Adventure',"['Adventure', 'Platform', 'Shooter']",Action,"['Nintendo R&D1', 'Nintendo']",Nintendo,4.3,0,0,907,0.57,0.12,0.71,0.02,1.42
Super Mario Bros.,Super Mario Bros.,,NES,"Sep 13, 1985",1985.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo R&D4']",Nintendo,3.5,0,733,237,29.08,3.58,6.81,0.77,40.24
Super Mario Bros.,Super Mario Bros.,,GB,"Sep 13, 1985",1999.0,['Adventure',"['Adventure', 'Platform']",Platform,"['Nintendo', 'Nintendo R&D4']",Nintendo,3.5,0,733,237,3.4,1.3,0.15,0.22,5.07
The Legend of Zelda: Majora's Mask,The Legend of Zelda: Majora's Mask,,N64,"Apr 27, 2000",2000.0,['Adventure'],['Adventure'],Action,"['Nintendo', 'Nintendo EAD']",Nintendo,4.4,0,0,0,1.9,0.67,0.73,0.06,3.36
The Last of Us,The Last of Us,,PS3,"Jun 14, 2013",2013.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Naughty Dog', 'Sony Computer Entertainment']",Sony Computer Entertainment Europe,4.2,0,0,0,2.41,2.28,0.28,1.01,5.99
The Last of Us,The Last of Us,,PS4,"Jun 14, 2013",2014.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Naughty Dog', 'Sony Computer Entertainment']",Sony Computer Entertainment,4.2,0,0,0,1.78,1.87,0.07,0.82,4.55
Terraria,Terraria,,X360,"May 16, 2011",2013.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",505 Games,4.0,0,0,593,0.35,0.31,0.0,0.06,0.72
Terraria,Terraria,,PS3,"May 16, 2011",2013.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",505 Games,4.0,0,0,593,0.07,0.26,0.09,0.07,0.49
Terraria,Terraria,,PC,"May 16, 2011",2011.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",Unknown,4.0,0,0,593,0.0,0.13,0.0,0.02,0.15
Terraria,Terraria,,PSV,"May 16, 2011",2013.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",Screenlife,4.0,0,0,593,0.0,0.01,0.09,0.0,0.11
Terraria,Terraria,,3DS,"May 16, 2011",2016.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",505 Games,4.0,0,0,593,0.0,0.03,0.04,0.0,0.08
Terraria,Terraria,,PS4,"May 16, 2011",2014.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",505 Games,4.0,0,0,593,0.0,0.05,0.01,0.01,0.06
Terraria,Terraria,,XOne,"May 16, 2011",2014.0,['Adventure',"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",Action,"['Re-Logic', 'Headup Games']",505 Games,4.0,0,0,593,0.0,0.04,0.0,0.0,0.04
